,post,response
41,The Dems are trying to scare young voters who are defecting in droves‼️,reinforce
42,It should be for democrats only,reinforce
43,An army of transvestites and metro sexual demo boys should scare the hell out of most everybody. It would scare the hell out of me,reinforce
44,The orange Satan?,reinforce
45,"The dems are going to throw anything and everything they can at Trump. With all the polls showing them trailing badly, they have become desperate.",reinforce
46,But will our nation benefit from that? We need to go back to a military of men and women that want to serve No freaks need apply.,reinforce
47,That was Biden’s idea!!,reinforce
48,The lies are coming fast and furious as it gets closer to election time..,reinforce
49,Mandatory for all Democrats.,reinforce
50,Hey low information roader you probably are not a veteran but this veteran wants to know why you don't mention slick willy monica clinton who is a draft dodger. Slick willy you know the other half of the hillarybeast went to England to school to avoid the draft. MAGA 2024.,reinforce
51,"Obiden Regime will do mandatory military service never President Trump. That is Big, big Lie to scare us to get votes.",reinforce
52,He is fake!,reinforce
53,The military knows Trump is a coward!!,reinforce
54,The corrupt Demorats will say or do anything to try to keep Trump out but it won’t work this time,reinforce
55,"A fake news claim that’s coming from an asshole democrat who has TDS! Rape, Democrat in-breeding, medical threat to mother has always been the Republican standard. Freedom believes in child molesting, so that’s why he’s upset. Ruth Bader Ginsburg stated that putting abortion in Federal Court was a mistake and it shouldn’t have happened. Ginsburg said abortion belongs to the states! Isn’t RBG the Democrats former Supreme Justice Superhero?!",reinforce
56,"So the Dems must be planning to do this. Whatever the accuse, they are guilty of",reinforce
57,Yes they are. Freaking left dem Marxist's.,reinforce
58,Have you seen Biden’s campaign? Awful. Biden’s rallies are pitiful. They can’t pay enough people to show up!,reinforce
59,'Just another fake story': Trump responds to 'fake news' report that said he'd look to implement mandatory military service.,reinforce
60,But only if the military were a fraction of what they used to be; not this namby pamby winy asses military jose biden stuck us with,reinforce
61,It’s a privilege to have someone else to fight for your freedoms and your country with their lives that people take advantage of. Maybe the younger generations would have more pride for their country if they have to fight for them.,reinforce
62,They are very creative and lie about so much.,reinforce
63,Another attempt at election interference.,reinforce
64,"I happen to know it WILL instill pride and confidence. Joined at 18, served 15 years. Best thing I ever did!",reinforce
65,Of course democrats are going to lie and bash Trump because they have no platform to run on.,reinforce
66,These media networks with these kind of misinformation trying to influence in the election need to be taken accountable.,reinforce
67,Biden ubama already said they’d do it themselves.,reinforce
68,Trump the rapist wants take away women’s rights!,reinforce
69,"With the little shits running rampant these days there SHOULD BE MANDATORY ENLISTMENT. Either DO TIME OR JOIN THE MILITARY, period.",reinforce
70,The Dems want Trump to sound bad by saying everything they'd do is what Trump would do. People soon find out the Dems only know how to lie and make people thin everything that's happening now is just a fluke. The Dems do everything they can to lie and cover up their lies to we the people. This is no longer the party of JFK.,reinforce
71,NO ONE who is voting for him believes this crap.,reinforce
72,Not bad idea,reinforce
73,Hell ya! Let’s do this.,reinforce
74,This vet is all for mandatory military service for men AND women.,reinforce
75,It’s fake news but freaking great idea. I am all for it,reinforce
76,Although I have no problem with 2 year mandatory military service. If you're an American the country needs your service,reinforce
77,FOAD!,reinforce
78,It’s actual a good idea,reinforce
79,Go away TROLL!,reinforce
80,Professional Service Only,reinforce
81,They are creative and make so much up.,reinforce
82,That's the Dem's who want to do this... PROJECTING again.,reinforce
83,"So rediculous. And even if it were true it’s only because the military is collapsing under Biden, nobody wants to fight for him",reinforce
84,Democrats are the warmongers .,reinforce
85,I don't think it'd be a bad idea actually. Some of the kids coming up would actually benefit from service to our nation.,reinforce
86,"Yeah, sure🙄",reinforce
87,"Falsifying business records in New York State can be a misdemeanor, but prosecutors can bring the charge as a felony if they believe the records were falsified to conceal another crime. Trump concealed three potential crimes, although he has not been charged with any of those. The law states the prosecutors do not need to prove such crimes were committed — only that there was “the intent to commit or conceal” an additional crime. Prosecutors have suggested the 3 crimes are: a federal campaign finance violation, tax fraud and a state election-law crime. Procedures were followed. Law was followed.",reinforce
88,"Actually President Trump gets MORE supporters at his rallies than in that photo!! Bastard Biden can't fill a bathroom as his ""supporters"" are busy destroying the safety & fabric of our country. But Sleepy Joe does spew 💩💩 out both ends!! Open Border Biden!! Genocide Joe!! We'll be rid of that rotting cadaver, rotten anti-American policies & the entire corrupt Biden Crime Family in 11/24! MAGA 2024!! 🇱🇷🇱🇷🇱🇷🇱🇷",reinforce
89,"Pure evil. We differently need to inc our military. We need to build it up quickly. Yes, you will be spending money to build our military, kick out the illegals, and stopping the green crap mandates. Prices will come down w oil and getting rid of regulations.",reinforce
90,Wrong…. a Veteran.,reinforce
91,This can only mean that is the DEMOCRATS who plan to do that. Based on Rules for Radicals: “Accuse your opponent of doing what you are doing “.,reinforce
92,"Hey bud, you’re already damaged. You are off the deep end you are mentally deficient. You’re not the same guy you were in 2020, when you still were a pile of shit. You’re a demented guy that thinks the most important thing to talk about out of political rally is sharks and batteries really?",reinforce
93,States with Felon Ex-Presidents👇,reinforce
94,"If we pay off your student loan, how about you give your country 2-4 yrs in the military?",reinforce
95,"He said ""Washington Compost"" 🤣😆",reinforce
96,"It's ""you're,"" genius - not ""your.""",reinforce
97,We don't believe the fake news ..not to worry Trump 2024,reinforce
98,"I'm not mad, I'm just a whole lot smarter and tougher than your a**Is when Get mad , you will not want to swear",reinforce
99,"You, the biggest liar ever to hold the Presidency, is now saying the newspaper is lying?? You’re a disgrace to America",reinforce
100,Nothing fake except you Donald. Nothing about you is solid fact. You have lived a life that’s not yours but one you made up as you went along in order to be somebody.,reinforce
101,Going down the escalator for sure. Re elect Joe,reinforce
102,Glad you clarified.,reinforce
103,We didn’t have wars with other countries under Trump. Why would I expect anything less?,reinforce
104,"When our government puts America first, patriotism rises higher and Americans honorably volunteer to defend our country. Mandatory military service is only necessary in America when our government destroys our military and no one wants to join in the woke mess.",reinforce
105,"if America want to continue endless wars, then we have no choice but to draft. and that should include this women.",reinforce
106,Unfortunately the brain dead believe everything they're fed by these leftists propaganda machines,reinforce
107,They are such liars !,reinforce
108,Who gives a f••k? His father will quickly pardon him before he’s voted out.,reinforce
109,"I can imagine being told, I would go to jail for telling the truth! I can imagine being told I would have to give up my life, or go to jail, because of some very powerful people! Who could I be?",reinforce
110,"Oh no Donny, you’ve done the job for them, you’ve spent the past 8 years destroying your own reputation…",reinforce
111,Our one thinks also unprecedented fraud requires unprecedented cure because completely lawless and lying hypocrites! with love :-)TSC # 4ALLE,reinforce
112,Rambling and ad libbing the rhetoric that makes no sense with or without a teleprompter.,reinforce
113,The same people who burn it are outraged when it’s flown upside down. 🤣🤣🤣,reinforce
114,Just another unintelligent comment by a Looney Demonrat!,reinforce
115,"Trump sold us out to Russia. Trump is formally charged under the Espionage Act for a legitimate reason. Democrats are NOT playing partisan politics. Trump stole and sold our nuclear secrets. Trump stole and sold our military attack plans and defense plans. Trump stole and sold our military strengths and weaknesses. Trump did the same thing to every NATO ally we have. I truly believe if America goes up in flames it will be because Trump sold us out, and “Christians” decided to make Trump their Lord and Savior.",reinforce
116,"You have to be kidding!! Maybe if you would've clipped complete sentences and not just clipped words, you would understand those parts of his speech. You are just laughable!",reinforce
117,"Maybe clean your ears out. It’s not like I’m making that up I heard him say that as well as many others. So, he’s the damned LIAR.",reinforce
118,Guess they haven't seen your track record on war during your administration. Guess they haven't heard you say hundreds of times what a waste war is. 🇺🇸,reinforce
119,The coward decided on his own not to testify. Donald Trump is disgraceful. FOX news doesn't show you any of that. Talk about rigged. History will bear this out.,reinforce
120,But you DID say soldiers are losers you fuckin’ rapist,reinforce
121,But nothing will happen to Hunter or Joe for their actions and lies.,reinforce
122,Just like not giving out the cure for cancer! We have the cure but the government wants us all to die so they can have everything we own! Put everything in a trust and leave it to your family not the government!,reinforce
123,"What a joke … what about his real crimes, the ones on his laptop …. SQUIRREL!!!",reinforce
124,I NEVER read any of their Fake News because of their known lies. Good that you sent out post just clear the minds of those that don’t stay current! MAGA 2024 Trump🌻🇺🇸,reinforce
125,Bullshit you criminal. I hope to God they shut you up for good,reinforce
126,I mean I dont see a problem with mandatory service. I'm even working on reenlistting now so I can be in under Trump WHEN he get elected this fall!,reinforce
127,ENOUGH!!! PLEASE SHARE 🙏,reinforce
128,Tell us all what legitimate charges were brought against against Trump?,reinforce
129,"Seemed like a no nonsense judge . So that helps. Look at the difference in judges. I do sort of think that they will save the laptop part for when Daddio is out of office so he cannot pardon him. He says he will not pardon him if he’s not guilty on this one, but I don’t believe one word he says.",reinforce
130,You are the one ending wars so young ppl dont die! What a sick bunch of liars!,reinforce
131,"Ironic that the Lefties are hell-bent on escalating to a colossally disastrous WW III, YET accuse Trump of militarization. With Biden approval for Ukraine to use US weapons on Russian cities, despite targeting caveats, could EASILY justify attacking continental USA cities, in Russian view.",reinforce
132,"I’m sure it’s on your “to do” list Trump. Dictators eventually take over the Military to use them against the people. When you say you will give all police officers immunity you expect to gain control in that manner. Dictators want a KGB like power over the￼ people. Somewhere in there you will take ALL guns from the American people. Yes, all people, even magas, not in the compulsory military. As you’ve stated, “I want MY PEOPLE to act like Kim Jong Un’s people!”",reinforce
133,"I don't understand these people. How can you wake up in the morning and write nonsense to readers knowing you're full of it and sleep at night? Granted these are people in a career that's one paycheck away from bankruptcy which has to be an internal battle. “I support Biden, but he's destroyed me financially”",shift
134,"Wow, ever think of how both parties are playing us with these hopeful convictions and light sentences/pardons while we get fleeced and have to work slave hours and wages for the elites… what simpletons we are",reinforce
135,Paul Ryan Talking Like He Did Everything So Wonderful on- who else? Neil Cavuto of Course,reinforce
136,Elected autocracy is an anomaly. It's when the elected class stops doing the will of the people and does their agendas. A body that was originally democratically elected to serve at the will of the people. A body that has violated its oath to the people and instead works for themselves. That sums up a majority of Congress. Those that have defended our nation from enemies foreign and domestic have not forgotten 26 August. ~Lest we forget,shift
137,Yeah I would think they would want to get them back! The looks on those justice’s faces at the national address said it all when Biden threatened them! I would put it to their ass!,reinforce
138,But look many veterans would say this is a good idea or civil service because at least it would start getting our youth a opportunity and just say I'm going to go to work for McDonald's at 15 dollars an hour,reinforce
139,These people should be ashamed of themselves. A bunch of Liars.,reinforce
140,The reality is that the number of new recruits will swell once you are back in office! The current deficit is 100% due to the Pro-war regime now in power!,reinforce
141,"Joe ‘can’t walk, can’t talk, stairs are his enemy’ biden wants to do mandatory inscription. They are projecting once again.",reinforce
142,"Hey!! There it is again!! Page 2 from MAGA playbook: “If you see a fellow American that is not on his or her knees sucking trump’s cock like you lovingly do, then call them a PEDO or GROOMER. But then get right back to sucking trump’s cock.” LMFAOOOOOOOO!!! 🤣🤣🤣🤣🤣🤣🤣🤣",reinforce
143,No it isn't a crime. Bill Clinton paid off numerous mistresses and he wasn't charged with a crime or threatened with jail. There's a taxpayer slush fund set aside to protect the political careers of congress members for their sexual misconduct. None of them have ever been charged with a crime or threatened with jail. Why?,reinforce
144,I wouldn’t put it past you to reinstate the draft. If there’s something in it for you,reinforce
145,How stupid are thee foot in the mouth AGAIN sick of the Narrative lies they should be the ones sitting their butts in jail…NOT PRESIDENT TRUMP,reinforce
146,"MORE LIES… THATS WHAT THEY DO, AND AMERICA KNOWS IT!",reinforce
147,Yeah and Joe Biden is a fucking Boy Scout. Fuck you you liberal piece of fucking shit! Have a nice day you cocksucking hair sniffing asshole,reinforce
148,What will you tell your kids and grandkids?,reinforce
149,Why would you scream and threaten when daddy will pardon you !!!,reinforce
150,"Amen , all fake media people are sick !!!",reinforce
151,Whooooo Hoooooooo!!! It’s a good day!!! Real justice and a whole lot of KARMA. It would be “acting stupidly “ if Joe Biden talks about “Felon Trump” on the campaign trail when he has a convicted felon in the fam. Just sayin😏,reinforce
152,I never believed Trump would out the gate make military service mandatory. That would be ironic since Trump calls losers those who have paid the ultimate price upon those hallowed grounds where The Tree of Liberty is watered by the blood of Her compatriots.,reinforce
153,Well there was a crime but now they’re calling it a bookkeeping issue. That’s mighty rich.,reinforce
154,Useful Idiot - you are the true definition.,reinforce
155,"I have 5 brothers - none served but they are fine, successful men, husbands & dads! Their children didn’t become crack addicts!",reinforce
156,I'm not claiming to be one I am one. If you don't like it tough shit,reinforce
157,Pedo Peter will not permit his pedo son (Hunter Biden) be tossed in jail.,reinforce
158,"Tell me a little bit more about Obamas, military background or shit bag Joe Biden",reinforce
159,"Thank you for 22 years. That’s a long time to be in the Army. 🤣🤣 Come on, man. You have an uncle or cousin or aunt or grandfather or someone in your family who served. Many, possibly most, multi-generation American families do. Not the trumps. And even that would be ok, if they respected those who have served and didn’t mock the service of POWs like John McCain and disparage our war dead.",challenge
160,"You’re brainwashed, he lies to you.",reinforce
161,"You’re no marine, you’re a disgrace to this country. Go F’ yourself.",reinforce
162,I suggest that after graduating high school 18 year-old males going to the service for two years. Then on to college or university. This may be needed to get the Country back on track. Some of our youth have lost their way. United States Army retired.,reinforce
163,Democrats are saying what they would call for. Guess what. We will not comply!,reinforce
164,Maybe because Hunter was guilty!,reinforce
165,Now let’s see !! Felony gun charges vs calling something a legal expense in which you paid your attorney. That was turned down to charge in state court where it should’ve been. But in order to get Trump they changed it to a federal charge because they know they can’t beat Trump in November.. Sounds like you’re the ASS CLOWN !!,reinforce
166,Only fascist Dems would support this. GOP never did.,reinforce
167,"Didn't the current administration just quietly activate 300,000 guardsmen? Why?",reinforce
168,"I can tell you right now they’re projecting what they want to do on Trump so if Biden gets in or Democrat gets in, they will have a draft. They are the ones that love the foreign wars.. Remember when they suggest some thing that Trump is going to do, that means they’re deflecting it off of themselves.",reinforce
169,A holes!!’,reinforce
170,~MAGA~🤝,reinforce
171,Let me tell you something the system is rigged. Who the fuck cares about him. The real criminal is his father,reinforce
172,That's NOT relevant at ALL! It's not a coincidence that we we've seen such a rapid decline in America at EVERY level since the mandatory draft ended 50 years ago!!! It was predictable and WRONG at the time AND WE WILL BRING IT BACK and SOON!!! 💪🇮🇱🇺🇲🥊🤠 # UltraMaGa # redtsunami,reinforce
173,"I love America, you idiot. You are the one that...(along with pedo joe) seems to hate America. You guys have absolutely no morals at all. You can use your (big silly words trying to sound intelligent) but it doesn't matter and it certainly doesn't work!! We all know what you are and we are past it...we do NOT CARE. We know right from wrong. Joey is wrong and Trump is right. I have my opinion, you have yours. We disagree and thats ok. After all, thats what America is!!! Don't you agree with me??? Come on now guesty...🤷‍♀️",reinforce
174,Yeah go lie and gaslight you cult not all of us buy that shit even for Second. you'll give yourself away at your next rally and we'll see the truth come out.,reinforce
175,i’d recommend a new ‘media’ for starters?,reinforce
176,"Unless they are stopped with their own medication, these Goebbels inspired extreme left MSM will continue",reinforce
177,"The Washington Compost, have to admit that’s pretty funny!",reinforce
178,"FFS you didn’t even call on the National guard during the Summer of Love when DC was being burned to hell and the rioters were attempting to breach the White House. What they want is to sow such discord and chaos and violence that you make these crazy calls so they can then say see!! he is a tyrant. I mean, at some point it would be nice though if they did get a little tough love regardless how much they cry about it. Why else would they stop otherwise?",reinforce
179,😂🤣😂🤣😂😂🤣,reinforce
180,"This is all You Biden supporters have left it seems - peddling false narratives and scare/shame tactics because you have zero substance to offer those of us who have felt the consequences of Biden’s policies. This was debunked many times and is not consistent with Trump’s behavior and treatment of vets in any history. It all goes back to the same thing - if you agree with open borders, unnecessary wars, marauding mobs to get away with whatever they want in our streets, high inflation, out of control costs, out of control authoritarianism and dudes hanging their balls in front of your daughters in a girls locker room than by all means keep clinging to your fake stories and vote for Biden.",reinforce
181,How do you condone what Biden has done to our military? Fired over 8000. Let in the dei.,reinforce
182,I wish this media would just go away,reinforce
183,"Song for next Trump Rally…Baby Shark!!! If you’re an associate of MIT, please explain why the battery wouldn’t electrocute the shark too? # BIDENBESTPRESIDENTEVER # DonaldTrumpHasDementia",reinforce
184,"Losers and suckers, but enough about you and your older boys...",reinforce
185,Stop the brainwashing of our precious children and hold the liars responsible and accountable for their part in the destruction of our youth! Fines for lies! Educate and investigate information before you spread it or be held accountable!,reinforce
186,Uh huh ... because YOU don't lie‼️ 🖕🤡 🤣🤣🤣🤣,reinforce
187,Bidenals also took money from us veterans and gave it to illegals 🤬🇺🇲,reinforce
188,"JOEY,COME NOVEMBER 5,2024,YOUR FIRED!!",reinforce
189,"That's bullshit and the only reason they brought these charges to begin with becuase EVERYONE now knows how corrupt the Democrat run DOJ, FBI, and ANY OTHER SERVICE OR BRANCH the Democrats run! Period! This doesn't clear them of the constitutional abuses they have abused thier offices and power perpetuating on anyone they want to destroy or ruin!!! Save that shit for the Sheep!!",reinforce
190,Well this Marine supports Trump and despises the fascist DNC.,reinforce
191,"Biden, conman when he first ran, still conning but forgetting what the con is… You are on the wrong side of history…sell out!",reinforce
192,Jerry Mouse does not belong in your Media,reinforce
193,"Personally I think that would be a great idea!!! If an illegal wants to become an American they have to do three things!!! Four years of military service, learn to speak English and after their four years of service they will be allowed three months of welfare for life!!!! If they don’t find a maintain employment they are on the next bus or flight to where ever they came from. Also they cannot become an American for ten years and that includes their service in fact the clock starts the day they enter the service. When the ten years is up they take a test and they MUST PASS IT THE END!!!!!! Or they are sent back!!!!",reinforce
194,"Oooh....somebody's got their panties in a wad.🤠 So sad, too bad.",reinforce
195,President Trump 2024 and pick Tulsi Gabbard as VP would be a strong ticket 🇺🇸🇺🇸👍👍,reinforce
196,F THE WP,reinforce
197,They are pond scum.,reinforce
198,"🤣🤣🤣🤣🤣 OH THAT SNEAKY MEDIA! Continuing with their ""attempt to damage me with the Voters"" by reporting the things you and your minions do and say. It's fantastic though, that you take the time to confirm the truth in the story, with your silly crying and denial.",reinforce
199,Please get this TRUTH OUT🇺🇸,reinforce
200,"I can feel it in my bones that people of all stripes are beginning to despise this POS. Well deserved. Oh, so well deserved.",reinforce
201,"We will see if the sentences are even. Pops will pardon him before he gets thrown out of the white house, we no joe is a proven lyer",reinforce
202,"He'll get a slap on the wrist, and after elections he'll be pardoned",reinforce
203,"You have to ask yourself why are they so bent on bringing Trump down. A man who has been president, and done an excellent job. No wars, low inflation, low interest rates, so many complex issues that he addressed. So, why would you not want a man that gets things done? They fear him,why? Besides wanting to hold on to power, there must be much more to all of this than we know. They must get to the bottom of this, we cannot have people in government trying to undermine our constitution, there seems to be many that are, very disturbing.",reinforce
204,"It’s time to start listening to the candidates for president. Trump’s rallies are a joke. There is not one intelligent thread of information related to the running of United States of America. It’s all about him and what’s happened to him. He couldn’t solve the pandemic and he certainly wouldn’t be able to resolve a recession, he surrounds himself with idiots who then fires when they don’t agree with him. Biden is surrounded by smart people and he takes the advice of smart people. Biden has created more jobs than any other president and lowered the cost of prescription drugs for Americans look at the facts.￼",challenge
205,Another moron democrat with DTS go and get your head exam ashole,reinforce
206,"Was he referring to John McCain, Bowe Bergdahl and few others or the military in general? There seems to be quite a few military higher ups and ex-cabinet members that he has pissed off that are more than willing to verify the story but there doesn’t seem to be any video that I can find.",reinforce
207,"Not if you're a whiny bleeding heart get the world away, especially just country liberal. Sorry about your luck. We'll see who comes out on top.",reinforce
208,I would happily join the military if Trump is President. He is a true cammader and chief. Trump is nothing like this Clown we currently have in office. Joe Biden is an absolute Bafoon and waste of a human being.,reinforce
209,"You are the embodiment of the Ugly American: dishonest, arrogant, disrespectful and dismissive of others. Go play golf.",reinforce
210,That is absolutely key... United we stand against the deep state and corrupt regime!,reinforce
211,I would support mandatory military service for American citizens. You can support the military without being overseas or subjected to combat.,reinforce
212,How’s those bone spurs Donnie????,reinforce
213,Despicable and treasonous,reinforce
214,Do you ever stop whining ? Be a man and ride off into the sunset..... # DonTheCon # MAGATears,reinforce
215,Flux them out and clean up the house.❤️,reinforce
216,You're a loser a liar and a convicted criminal. You can't be believed you lie too much .Do us all a favor and drop out of the race now . This country doesn't need a person of your low integrity intelligence and disgustly low standards. You've disgraced this country with your presence. We the the majority of this country don't want you here or to lead this great country you only bring it down.,reinforce
217,# MAGASTRONGERTHANEVER # Trump2024toSaveAmerica Get comfy hon. Landslide coming. Biden dementia has him.,reinforce
218,I call them the Washington Shitpost.,reinforce
219,That would be my agenda...,reinforce
220,They can't help themselves with the flat-out lies! I can't wait to see what they make up next.,reinforce
221,Hilarious! Washington Compost. I love it. So true,reinforce
222,We don’t have honest journalist any longer sadly,reinforce
223,Someone is giving you false info!! Better ck out your sources!!,reinforce
224,Wrong! The charges against President Trump are false!,reinforce
225,The hell with those liars we heard so many no one believes anything they say President Trump 2024,reinforce
226,Biden wears his shitbag everyday and I bet you smell like one. Name calling is very grown up thing to do huh shitbag ?,reinforce
227,"I never wished you kind regards! In fact, I cannot tolerate anyone who would support today’s anti-American demoncrat party!!",reinforce
228,Best way for women to be empowered is to stay the fuck out of ‘man’s politics’ 👍😸😂👻,reinforce
229,You nailed it … a Biden served. Find me one trump that served. Ever. One …,reinforce
230,Hunter is a felon also! Lets not forget that,reinforce
231,Your pathetic and delusional he calls the fallin patriots sucker's and loser's he's a piece of shit,reinforce
232,There desperate and. Will try anyto keep power,reinforce
233,Justice until sentencing then the clowns will give him his suspended sentence.,reinforce
234,"TDS or paid bot. alert. Hates Trump, but follows all things Trump. Nothing Biden or Biden connected. Sane and intelligent people don’t only follow those they hate. Paid shill? Boy? Matters not. Blocked due to lack of relevance or value.",reinforce
235,Fuckers Fake News!🖕🖕🖕,reinforce
236,"Biden’s son served. NO ONE in five generations of trumps has served. You have an uncle or cousin or aunt or grandfather or someone in your family who served. Many, possibly most, multi-generation American families do. Not the trumps. And even that would be ok, if they respected those who have served and didn’t mock the service of POWs like John McCain and disparage our war dead.",challenge
237,Remember the red wave that was supposed to happen during the midterms? Well that didn’t happen and this won’t happen either. @ realDonaldTrump,reinforce
238,This is what the Democrats want to do.,reinforce
239,"SAVE YOUR BREATH, VON SHITZENPANTS, IN LESS THAN 5 MONTHS FROM NOW…., THE MORE INTELLIGENT, PATRIOTIC, and HONORABLE PEOPLE OF THIS BEAUTIFUL COUNTRY WILL COLLECTIVELY VOTE YOUR FAT DISGUSTING ASS OUT….!!! How does it feel that the majority of the world CANNOT WAIT FOR YOU TO CROAK..!!!!!..and the SOONER THE BETTER..!!..so get on it, would ya..!!!!",reinforce
240,Our armed forces decimated by the clot shot,reinforce
241,I’m not going to dignify your comment. You are stupid and a sheep ready for the slaughter. Have fun when reality bites you in the ass moron. Oh and have a great day,reinforce
242,NONE! Joey says he had asthma yet played football in high school!,reinforce
243,"Here’s the solution to the draft. ALL these illegals to be put in uniform. If you broke the law to come into this country, a country that so far has given you EVERYTHING, then you are going to fight for this country!!! When and IF you come back alive we can consider your citizenship by cutting off some time it takes to become naturalized. ABSOLUTELY NO BENEFITS UNTIL YOU SERVE",reinforce
244,Literally says in the article that you have not publicly endorsed this policy🤷‍♂️,challenge
245,If you are denying it then it must be true,reinforce
246,"Other than the corrupt DOJ let a whole raft of charges expire, rather than prosecuting them. The gun charges were the most egregious, that they couldn't let slide, although they did try to give him a sweetheart get away with it deal. Unfortunately, a judge killed that.",reinforce
247,Washington post all employees and owners haven’t gotten laid since 1776,reinforce
248,And the intimidation by the Biden family at the trial had no effect. In his own state of Delaware.,reinforce
249,"Where do you MAGA & QAnon dopes get this shit from? Don Trump Jr.? Facts don’t matter to you, but here they are anyway: Biden graduated from Archmere Academy and then went on to graduate from Delaware University and the Syracuse University Law School.",reinforce
250,"Why don't you write to those Republican Congress people who voted against the bipartisan border bill? You like to point fingers? Point them where they belong. Yes, Schumer voted against it but R's far outweighed the D's.",shift
251,All you have to do is put the people back in that Biden fired for not taking “the jab”,reinforce
252,Two tiered justice system! This makes no sense whatsoever 😡🤬,reinforce
253,Washington compost… Trump that was slick 😂😂😂😂😂. You snapped😂😂😂,reinforce
254,"Sue them for defamation of character, they would do it to you. These idiots never stop.",reinforce
255,We all know that’s a fake story . Anyone who does believe this are already licking Joe Biden’s boots,reinforce
256,Demand mandatory military service because the mostly non-White and homosexual American military staff is utterly useless.,reinforce
257,"Biden’s gun fiasco was eight years ago. For eight years it got slow walked, buried, ignored. Only after the dumbass left his laptop for all the world to see did it surface again. Biden’s DOJ pieced together a deal to forgive all of his crimes past and future but a honest Judge stopped it. The entire nation still has no idea what the felony is that was attached to (beyond statute of limitations) book keeping issues that at most could have been misdemeanors. You’ll learn all of this when the courts throw this pile of garbage out of Earths orbit. The democrat run media will be silent about it but it’ll still be everywhere. They don’t own the narrative anymore so be careful not to accidentally learn the truth. Sure wouldn’t want you to feel sucker punched, but you have been. Again.",reinforce
258,"Something they are probably planning, seeing as how they thought of it .",reinforce
